user_id,experiment_group,device_type,traffic_source,region,landing_page,sessions,avg_session_duration_sec,pages_viewed,signed_up,purchased,order_value,revenue
USER-00001,treatment,Mobile,Social,West,Features,6,227.8,7.5,1,0,125.99,0.0
USER-00002,control,Mobile,Paid Search,North,Homepage,4,206.0,4.7,0,0,81.14,0.0
USER-00003,control,Mobile,Organic Search,North,Features,4,256.1,5.1,1,0,106.78,0.0
USER-00004,control,Mobile,Email,North,Pricing,4,145.0,8.2,0,0,131.72,0.0
USER-00005,treatment,Mobile,Social,East,Features,5,175.5,4.8,0,0,140.62,0.0
USER-00006,treatment,Desktop,Email,North,Homepage,7,186.0,8.6,0,0,114.71,0.0
USER-00007,treatment,Mobile,Paid Search,West,Pricing,2,262.1,5.9,1,0,137.9,0.0
USER-00008,control,Mobile,Social,North,Homepage,4,170.6,6.3,0,0,30.45,0.0
USER-00009,treatment,Desktop,Paid Search,East,Pricing,5,267.7,4.8,1,0,146.49,0.0
USER-00010,treatment,Desktop,Paid Search,East,Pricing,7,247.7,6.8,1,0,143.05,0.0
USER-00011,control,Tablet,Email,East,Pricing,4,186.1,6.3,1,0,107.61,0.0
USER-00012,treatment,Mobile,Social,East,Homepage,3,218.1,6.0,1,0,92.61,0.0
USER-00013,treatment,Mobile,Email,West,Features,8,240.0,5.2,0,0,64.48,0.0
USER-00014,treatment,Desktop,Social,East,Features,5,287.0,8.5,0,0,134.15,0.0
USER-00015,control,Mobile,Email,East,Features,5,244.7,6.8,0,0,67.91,0.0
USER-00016,control,Desktop,Paid Search,North,Pricing,5,157.2,6.3,0,0,135.64,0.0
USER-00017,control,Mobile,Organic Search,North,Pricing,10,201.9,8.3,1,0,88.55,0.0
USER-00018,control,Mobile,Email,West,Pricing,5,287.0,4.6,0,0,132.68,0.0
USER-00019,control,Desktop,Organic Search,West,Features,3,336.7,6.6,1,0,109.62,0.0
USER-00020,control,Desktop,Email,South,Features,5,271.6,8.2,1,0,154.0,0.0
USER-00021,control,Desktop,Organic Search,West,Features,5,292.9,7.9,0,0,112.82,0.0
USER-00022,control,Mobile,Paid Search,West,Pricing,4,257.8,5.3,1,0,132.29,0.0
USER-00023,treatment,Desktop,Social,South,Pricing,3,190.2,6.2,0,0,143.3,0.0
USER-00024,control,Mobile,Paid Search,North,Features,8,168.3,3.6,0,0,119.76,0.0
USER-00025,control,Mobile,Paid Search,East,Pricing,2,208.6,7.0,1,0,79.98,0.0
USER-00026,control,Mobile,Paid Search,West,Homepage,4,192.0,6.4,1,1,129.58,129.58
USER-00027,control,Mobile,Organic Search,North,Features,5,232.4,4.0,0,1,67.8,67.8
USER-00028,treatment,Mobile,Organic Search,East,Features,8,201.0,6.3,0,0,109.85,0.0
USER-00029,treatment,Mobile,Paid Search,East,Homepage,6,133.2,6.8,1,0,122.58,0.0
USER-00030,treatment,Mobile,Paid Search,South,Pricing,3,176.8,9.2,0,0,132.46,0.0
USER-00031,control,Mobile,Organic Search,East,Homepage,3,153.7,5.4,0,0,63.98,0.0
USER-00032,control,Mobile,Paid Search,North,Homepage,4,334.1,6.2,1,0,124.01,0.0
USER-00033,control,Tablet,Organic Search,West,Pricing,5,263.5,7.1,0,0,123.45,0.0
USER-00034,treatment,Tablet,Paid Search,East,Pricing,4,219.9,5.6,0,0,92.98,0.0
USER-00035,control,Mobile,Paid Search,West,Homepage,3,182.1,3.1,0,0,114.49,0.0
USER-00036,treatment,Mobile,Paid Search,South,Pricing,7,277.7,4.6,0,0,60.36,0.0
USER-00037,treatment,Mobile,Social,South,Homepage,4,210.1,8.9,1,0,69.96,0.0
USER-00038,control,Mobile,Social,West,Homepage,4,115.6,8.0,1,0,140.66,0.0
USER-00039,treatment,Mobile,Social,South,Pricing,2,169.6,8.2,0,0,78.13,0.0
USER-00040,treatment,Mobile,Email,East,Pricing,5,217.6,6.6,0,0,141.1,0.0
USER-00041,control,Mobile,Organic Search,East,Pricing,4,196.0,5.3,0,0,50.6,0.0
USER-00042,control,Mobile,Organic Search,South,Features,2,186.9,8.5,1,0,138.04,0.0
USER-00043,treatment,Desktop,Organic Search,West,Features,4,182.5,5.9,1,1,113.39,113.39
USER-00044,control,Mobile,Organic Search,North,Homepage,6,187.9,7.4,0,0,55.48,0.0
USER-00045,control,Desktop,Social,South,Pricing,2,271.8,6.2,0,0,129.46,0.0
USER-00046,treatment,Desktop,Organic Search,North,Homepage,4,258.3,6.2,0,0,129.74,0.0
USER-00047,treatment,Mobile,Social,South,Homepage,2,265.2,5.6,1,0,95.03,0.0
USER-00048,control,Desktop,Social,North,Pricing,4,185.0,6.1,0,0,137.31,0.0
USER-00049,control,Tablet,Social,South,Pricing,1,200.3,3.6,0,0,85.17,0.0
USER-00050,treatment,Mobile,Organic Search,South,Homepage,6,197.7,6.1,1,0,183.39,0.0
USER-00051,treatment,Desktop,Organic Search,North,Features,2,260.3,3.9,0,0,134.68,0.0
USER-00052,control,Mobile,Social,North,Features,2,273.7,5.3,0,0,119.33,0.0
USER-00053,treatment,Mobile,Organic Search,South,Pricing,3,201.5,4.2,1,0,94.49,0.0
USER-00054,control,Mobile,Email,West,Pricing,5,216.8,4.0,0,0,140.79,0.0
USER-00055,treatment,Mobile,Paid Search,South,Pricing,3,146.5,6.3,0,0,160.43,0.0
USER-00056,treatment,Desktop,Paid Search,South,Homepage,5,275.1,2.8,0,0,90.82,0.0
USER-00057,control,Mobile,Organic Search,East,Pricing,4,209.7,6.3,0,0,93.21,0.0
USER-00058,control,Mobile,Email,South,Homepage,5,237.2,5.8,1,0,131.47,0.0
USER-00059,control,Tablet,Paid Search,South,Pricing,3,223.7,6.2,0,0,138.12,0.0
USER-00060,treatment,Mobile,Social,South,Pricing,3,263.5,8.3,1,0,120.72,0.0
USER-00061,treatment,Mobile,Organic Search,East,Features,3,255.5,6.7,1,0,177.99,0.0
USER-00062,control,Tablet,Paid Search,North,Homepage,2,160.4,9.1,1,0,94.17,0.0
USER-00063,treatment,Desktop,Paid Search,South,Features,2,253.3,7.5,0,0,129.77,0.0
USER-00064,control,Desktop,Organic Search,East,Features,2,250.8,5.8,1,0,108.62,0.0
